Rank,Id,Player,Elo,Sets,LastMatch,RankChange
1,64572,ishy,1857.49,523,2026-04-19,+1
2,2064505,SuperCam | Zoroaster,1854.12,39,2026-02-20,-1.0
3,1080845,UTK | DBQ | HammerBro,1808.48,87,2026-04-24,+1
4,2193397,TheCompany | storm,1796.53,42,2026-02-27,-1.0
5,2539902,Owls,1772.37,411,2026-04-19,0.0
6,1029144,poisonous_paint,1753.1,409,2026-04-19,+3
7,2297057,Pronoun Gang | FreshBot,1748.63,61,2026-04-19,+1
8,224510,KornDog | KornDog,1723.11,448,2026-04-24,-2.0
9,1560318,TheCompany | SmokedSam,1697.37,113,2026-02-27,-2.0
10,228065,pp | samedwin,1687.77,249,2026-04-24,0.0
11,3167331,NANA!!! | Harlequinn,1660.32,75,2026-04-24,+2
12,205609,IMMRTL | Drevis,1638.33,45,2026-04-24,0.0
13,1525406,KornDog | Coffee,1634.85,248,2026-04-19,-2.0
14,1034981,TheCompany | Hidalgo,1628.88,71,2026-01-23,0.0
15,1152280,LAB | pp | Canis,1624.31,420,2026-04-19,+2
16,2629500,CookedCanard,1610.0,367,2026-04-19,0.0
17,2371353,TNSPIDURZZ | Hutchzilla,1579.68,46,2026-02-27,+1
18,793366,Nanoir,1579.39,39,2026-02-27,+1
19,1288123,AL | Fulkssie,1570.51,544,2026-04-19,-4.0
20,1851257,HWNT | Sweet TeaS,1563.26,38,2026-02-27,0.0
21,1281231,KornDog | Goose,1557.78,173,2026-03-06,0.0
22,1086128,Beelzebub,1555.27,171,2026-04-24,+6
23,1061488,Elfy,1555.18,29,2026-02-27,-1.0
24,2263984,z0id | AhribockanonaD.E.M.,1538.26,38,2026-04-17,-1.0
25,2544855,LS | Avahe,1531.03,67,2025-11-15,-1.0
26,2433497,KornDog | E Man,1529.36,302,2026-04-17,-1.0
27,809159,chaddy,1524.6,34,2025-11-15,-1.0
28,1557502,KornDog | UTK | ChillMonkey,1522.32,107,2025-05-02,-1.0
29,2417624,CHEF | Mayer,1510.71,249,2025-05-02,0.0
30,987081,z0id | soup,1509.96,59,2026-04-24,+7
31,159433,MaYo,1505.56,28,2026-03-06,0.0
32,847786,diva brando,1503.27,98,2025-09-05,+1
33,2006930,pp | palaidan,1501.17,162,2025-11-15,+1
34,3081799,ETSU | FoxboxRay,1500.98,199,2026-04-17,-4.0
35,2396700,Xandar,1500.51,25,2025-11-15,0.0
36,2965360,Marcelainspanish,1498.22,159,2025-11-07,0.0
37,2598494,SNIZ | TheRevival,1476.49,72,2025-11-15,+1
38,2435358,Liquid | sip the drank or else,1470.09,30,2026-04-17,-6.0
39,2978381,ETSU | Kurgo,1468.92,241,2026-04-19,0.0
40,864802,Lenkrow,1460.25,30,2026-04-24,
41,1603916,blaz1ng,1458.7,40,2025-04-30,-1.0
42,3182818,KornDog | Allo,1455.07,31,2026-02-14,-1.0
43,3644031,Sol,1449.29,137,2026-04-24,+1
44,2998902,Merlin,1447.62,33,2025-05-02,-1.0
45,3627071,Minus Strike,1412.12,26,2025-09-26,+1
46,3112289,KornDog | OatNeil314,1407.78,63,2026-03-06,+1
47,613483,Doup | colt,1399.6,298,2026-04-24,+1
48,2379654,Schizo Coati,1393.87,83,2026-04-24,-3.0
49,3652534,Shroom | Jonald,1386.06,35,2026-01-24,+2
50,3593091,HOODLUMS | Stickfan,1365.45,230,2026-04-17,-1.0
51,4419757,Leafe-off,1340.38,26,2026-02-13,+1
52,2464010,Lowtierfrog,1335.09,114,2026-04-24,-2.0
53,3593184,Dragonfire | Hearth,1331.65,65,2025-12-05,+1
54,3057747,pp | sparx1o1,1320.4,157,2025-11-15,+1
55,4946591,Ø | Ves,1319.24,40,2026-04-10,+1
56,1108208,KornDog | Dr./Mr.Shnazzy,1301.14,300,2026-04-24,-3.0
57,3607435,Juliano,1283.59,85,2026-02-06,+2
58,3607165,NamesRHard,1280.26,74,2025-10-17,+2
59,4939072,Slippy,1279.85,30,2026-04-24,-1.0
60,3020775,SWAG | Pinu,1267.14,120,2026-02-13,+1
61,4288755,Nessie,1259.13,66,2026-04-24,-4.0
62,3596097,beans | justa_noob,1206.71,70,2026-04-10,+1
63,2770921,BuyingLake,1205.78,178,2026-04-17,-1.0
