Rank,Id,Player,Elo,Sets,LastMatch,RankChange
1,2064505,SuperCam | Zoroaster,1878.84,39,2026-02-20,0.0
2,64572,BRAVO | ishy,1844.47,504,2026-03-06,0.0
3,2193397,TheCompany | storm,1820.7,42,2026-02-27,0.0
4,1080845,UTK | DBQ | HammerBro,1783.48,83,2026-02-27,0.0
5,2539902,Horchata | Owls,1759.48,402,2025-11-15,0.0
6,1560318,TheCompany | SmokedSam,1709.87,113,2026-02-27,+1
7,2297057,Pronoun Gang | FreshBot,1708.77,51,2026-02-27,+1
8,1152280,BOTS | pp | Canis,1685.66,402,2026-03-06,-2.0
9,1029144,O.E.M,1676.34,397,2025-12-05,0.0
10,1525406,KornDog | Coffee,1675.08,233,2026-03-06,+1
11,228065,pp | samedwin,1673.44,232,2026-02-27,-1.0
12,224510,KornDog | KornDog,1662.56,421,2026-03-06,+4
13,205609,IMMRTL | Drevis,1660.0,40,2026-02-27,-1.0
14,1288123,AL | Fulkssie,1644.66,532,2026-03-06,0.0
15,1034981,TheCompany | Hidalgo,1640.49,71,2026-01-23,-2.0
16,1587053,Viridian,1626.75,37,2025-03-29,-1.0
17,3167331,NANA!!! | Harlequinn,1594.01,45,2026-03-06,+7
18,2371353,TNSPIDURZZ | Hutchzilla,1586.12,46,2026-02-27,-1.0
19,793366,Nanoir,1585.94,39,2026-02-27,-1.0
20,1851257,HWNT | Sweet TeaS,1569.55,38,2026-02-27,0.0
21,2629500,pp | CookedCanard,1564.75,348,2026-03-06,+1
22,1281231,KornDog | Goose,1561.54,173,2026-03-06,-3.0
23,1061488,Elfy,1561.19,29,2026-02-27,-2.0
24,2263984,z0id | AhribockanonaD.E.M.,1540.13,34,2026-01-23,-1.0
25,2544855,LS | Avahe,1534.16,67,2025-11-15,0.0
26,2433497,KornDog | E Man,1529.39,297,2026-03-06,0.0
27,809159,chaddy,1526.97,34,2025-11-15,0.0
28,1557502,KornDog | UTK | ChillMonkey,1523.92,107,2025-05-02,0.0
29,1279386,Lazy | L,1516.39,30,2025-03-08,0.0
30,2417624,CHEF | Mayer,1512.04,249,2025-05-02,0.0
31,3081799,ETSU | FoxboxRay,1506.98,195,2025-11-21,0.0
32,159433,MaYo,1506.01,28,2026-03-06,
33,2435358,UTK | Self-Made Gorillionaire,1505.8,28,2025-04-25,-1.0
34,847786,diva brando,1503.17,98,2025-09-05,-1.0
35,2396700,Xandar,1500.74,25,2025-11-15,-1.0
36,1080423,FarmingSim,1500.21,26,2025-03-29,-1.0
37,2006930,pp | palaidan,1500.1,162,2025-11-15,+1
38,2965360,Marcelainspanish,1497.03,159,2025-11-07,-2.0
39,1086128,Beelzebub,1496.12,152,2026-03-06,+2
40,2598494,SNIZ | TheRevival,1474.37,72,2025-11-15,-1.0
41,2978381,ETSU | Kurgo,1469.85,228,2026-03-06,-4.0
42,1603916,blaz1ng,1455.0,40,2025-04-30,0.0
43,3182818,KornDog | Allo,1451.94,31,2026-02-14,0.0
44,2978351,veto,1446.16,39,2025-04-25,+1
45,2998902,Merlin,1442.92,33,2025-05-02,+1
46,987081,z0id | soup,1441.29,44,2026-02-27,+1
47,2379654,Schizo Coati,1439.15,75,2026-03-06,+1
48,3593091,HOODLUMS | Stickfan,1436.6,224,2026-03-06,-8.0
49,3644031,Sol,1423.79,121,2026-03-06,+1
50,613483,Doup | colt,1422.78,289,2026-03-06,+1
51,3627071,Minus Strike,1403.74,26,2025-09-26,+1
52,3112289,KornDog | OatNeil314,1400.26,63,2026-03-06,-3.0
53,2509116,Avery,1386.23,86,2025-04-11,0.0
54,3652534,Shroom | Jonald,1377.08,35,2026-01-24,0.0
55,2464010,Lowtierfrog,1342.46,96,2026-03-06,+3
56,1108208,KornDog | Dr./Mr.Shnazzy,1328.94,284,2026-03-06,+1
57,4419757,Leafe-off,1327.69,26,2026-02-13,-2.0
58,4288755,Nessie,1324.47,56,2026-02-20,+2
59,3593184,Dragonfire | Hearth,1321.44,65,2025-12-05,-3.0
60,3057747,pp | sparx1o1,1312.33,157,2025-11-15,+1
61,4946591,Ø | Ves,1305.25,36,2026-03-06,-2.0
62,3607435,Juliano,1271.38,85,2026-02-06,+1
63,3607165,NamesRHard,1265.89,74,2025-10-17,-1.0
64,3020775,SWAG | Pinu,1252.11,120,2026-02-13,0.0
65,2770921,BuyingLake,1236.88,172,2026-03-06,0.0
66,3596097,beans | justa_noob,1200.61,69,2026-03-06,0.0
