Rank,Id,Player,Elo,Sets,LastMatch,RankChange
1,2064505,SuperCam | Zoroaster,1858.99,39,2026-02-20,0.0
2,64572,BRAVO | ishy,1810.68,510,2026-03-27,0.0
3,2193397,TheCompany | storm,1801.25,42,2026-02-27,0.0
4,1080845,UTK | DBQ | HammerBro,1769.63,83,2026-02-27,0.0
5,2539902,Horchata | Owls,1750.49,402,2025-11-15,0.0
6,224510,KornDog | KornDog,1735.69,429,2026-03-27,0.0
7,1560318,TheCompany | SmokedSam,1699.84,113,2026-02-27,0.0
8,2297057,Pronoun Gang | FreshBot,1699.14,51,2026-02-27,0.0
9,1029144,O.E.M,1671.6,397,2025-12-05,0.0
10,228065,pp | samedwin,1666.45,232,2026-02-27,0.0
11,1525406,KornDog | Coffee,1652.13,237,2026-03-27,0.0
12,205609,IMMRTL | Drevis,1649.23,40,2026-02-27,0.0
13,3167331,NANA!!! | Harlequinn,1648.65,56,2026-04-10,+4
14,1034981,TheCompany | Hidalgo,1631.13,71,2026-01-23,0.0
15,1288123,AL | Fulkssie,1622.1,536,2026-03-27,0.0
16,2629500,pp | CookedCanard,1622.0,360,2026-04-10,+2
17,1152280,LAB | pp | Canis,1608.5,408,2026-04-10,-4.0
18,2371353,TNSPIDURZZ | Hutchzilla,1580.95,46,2026-02-27,+1
19,793366,Nanoir,1580.68,39,2026-02-27,+1
20,1851257,HWNT | Sweet TeaS,1564.48,38,2026-02-27,+1
21,1281231,KornDog | Goose,1558.53,173,2026-03-06,+1
22,1061488,Elfy,1556.33,29,2026-02-27,+1
23,2263984,z0id | AhribockanonaD.E.M.,1536.96,34,2026-01-23,+1
24,2544855,LS | Avahe,1531.64,67,2025-11-15,+1
25,2433497,KornDog | E Man,1528.15,297,2026-03-06,+1
26,809159,chaddy,1525.06,34,2025-11-15,+1
27,1557502,KornDog | UTK | ChillMonkey,1522.64,107,2025-05-02,+1
28,1086128,Beelzebub,1519.24,162,2026-04-10,+1
29,2417624,CHEF | Mayer,1510.97,249,2025-05-02,+1
30,3081799,ETSU | FoxboxRay,1507.66,195,2025-11-21,+1
31,159433,MaYo,1505.65,28,2026-03-06,+1
32,2435358,UTK | Self-Made Gorillionaire,1505.19,28,2025-04-25,+1
33,847786,diva brando,1503.26,98,2025-09-05,+1
34,2006930,pp | palaidan,1500.98,162,2025-11-15,+2
35,2396700,Xandar,1500.55,25,2025-11-15,0.0
36,2965360,Marcelainspanish,1498.0,159,2025-11-07,+2
37,987081,z0id | soup,1497.22,51,2026-04-10,+8
38,2598494,SNIZ | TheRevival,1476.08,72,2025-11-15,+1
39,2978381,ETSU | Kurgo,1465.88,231,2026-03-27,+1
40,1603916,blaz1ng,1457.98,40,2025-04-30,+1
41,3182818,KornDog | Allo,1454.45,31,2026-02-14,+1
42,2978351,veto,1449.79,39,2025-04-25,+1
43,2998902,Merlin,1446.71,33,2025-05-02,+1
44,3644031,Sol,1424.1,129,2026-04-10,+3
45,2379654,Schizo Coati,1420.57,78,2026-04-10,+1
46,3627071,Minus Strike,1410.5,26,2025-09-26,+3
47,3112289,KornDog | OatNeil314,1406.32,63,2026-03-06,+3
48,613483,Doup | colt,1392.34,291,2026-03-27,+3
49,3593091,HOODLUMS | Stickfan,1386.0,228,2026-04-10,-1.0
50,2464010,Lowtierfrog,1384.8,104,2026-04-10,+4
51,3652534,Shroom | Jonald,1384.31,35,2026-01-24,+2
52,4419757,Leafe-off,1337.9,26,2026-02-13,+3
53,1108208,KornDog | Dr./Mr.Shnazzy,1334.03,290,2026-04-10,+5
54,3593184,Dragonfire | Hearth,1329.62,65,2025-12-05,+3
55,3057747,pp | sparx1o1,1318.79,157,2025-11-15,+4
56,4946591,Ø | Ves,1317.18,40,2026-04-10,+4
57,4288755,Nessie,1310.25,58,2026-04-10,-1.0
58,4939072,Slippy,1300.1,26,2026-04-10,
59,3607435,Juliano,1281.17,85,2026-02-06,+2
60,3607165,NamesRHard,1277.42,74,2025-10-17,+2
61,3020775,SWAG | Pinu,1264.18,120,2026-02-13,+2
62,2770921,BuyingLake,1216.34,176,2026-04-10,+2
63,3596097,beans | justa_noob,1202.99,70,2026-04-10,+2
